* Name	Value
*
C1	220pF
C2	220pF
C3	47pF
C4	47pF
C5	47pF
C6	47pF
C7	47pF
C8	47pF
C9	2,2uF RM 2,5mm
C10	2,2uF RM 2,5mm
C11	22uF 16V RM 2,5
C12	22uF 16V RM 2,5
C13	22uF 16V RM 2,5
C14	100nF
C15	100nF
C16	100nF
C17	100nF
C18	100nF
C19	100nF
C20	100nF
C21	100nF
C22	100nF
CN1	VGA D-SUB 15 female
D1	1N4148
D2	1N4148
D3	1N4148
D4	1N4148
L1	Ferrit
L2	Ferrit
L3	Ferrit
Q1	3904
Q2	TL431
R1	33R
R2	33R
R3	360R
R4	1K
R5	150R
R6	150R
R7	150R
R8	1R 1W
R9	75R
R10	75R
R11	1R 1W
U1	GD5401 or AVGA1
U2	HY534256
U3	HY534256
U4	74LS244
U5	BIOS
